date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:19	6916/6916	---M--	200	added ('OK')	text/javascript	etag:%2220954379%22	https://plaiaundi.hezkuntza.net/html/portlet/journal/js/navigation.js?browserId=other&minifierType=js&languageId=es_ES&b=6210&t=1673863779000	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/html/portlet/journal/js/navigation30a0.js	(from https://plaiaundi.hezkuntza.net/es/)
13:44:31	28868/28868	---M--	200	added ('OK')	text/javascript	etag:%2261f84443%22	https://plaiaundi.hezkuntza.net/html/portlet/journal/js/main.js?browserId=other&minifierType=js&languageId=es_ES&b=6210&t=1673863779000	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/html/portlet/journal/js/main30a0.js	(from https://plaiaundi.hezkuntza.net/es/)
13:44:32	289173/289173	---M--	200	added ('OK')	text/css	etag:%22cebbc0d5%22	https://plaiaundi.hezkuntza.net/w24t000IntranetCentrosWAR-theme/css/main.css?browserId=other&themeId=w24t000IntranetCentrosWAR_WAR_w24t000IntranetCentrosWARtheme&minifierType=css&languageId=es_ES&b=6210&t=1633508919000	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/w24t000IntranetCentrosWAR-theme/css/maine59f.css	(from https://plaiaundi.hezkuntza.net/es/)
13:44:32	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/plaiaundi/Downloads/a/A/www.google-analytics.com/analytics.js	(from https://plaiaundi.hezkuntza.net/es/)
13:44:32	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2016%20Jan%202023%2012:44:20%20GMT	https://plaiaundi.hezkuntza.net/es/portada?p_p_id=82&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&_82_struts_action=%2Flanguage%2Fview&_82_redirect=%2Fes%2F&_82_languageId=eu_ES	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/portadabdd1	(from https://plaiaundi.hezkuntza.net/es/)
13:44:33	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2016%20Jan%202023%2012:44:32%20GMT	https://plaiaundi.hezkuntza.net/es/inicio	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/inicio	(from https://plaiaundi.hezkuntza.net/es/)
13:44:33	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2016%20Jan%202023%2012:44:33%20GMT	https://plaiaundi.hezkuntza.net/es/el_centro	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/el_centro	(from https://plaiaundi.hezkuntza.net/es/)
13:44:40	33478/33478	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:38%20GMT	https://plaiaundi.hezkuntza.net/es/contacto	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/contacto.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:40	668/668	---M--	200	added ('OK')	image/png	etag:%2296dc6484%22	https://plaiaundi.hezkuntza.net/w24t000IntranetCentrosWAR-theme/images/common/search.png	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/w24t000IntranetCentrosWAR-theme/images/common/search.png	(from https://plaiaundi.hezkuntza.net/es/)
13:44:41	73061/73061	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:33%20GMT	https://plaiaundi.hezkuntza.net/es/portada	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/portada.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:41	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2016%20Jan%202023%2012:44:40%20GMT	https://plaiaundi.hezkuntza.net/es/c/portal/login?p_l_id=2788979	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/c/portal/login1211	(from https://plaiaundi.hezkuntza.net/es/)
13:44:42	33322/33322	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:41%20GMT	https://plaiaundi.hezkuntza.net/es/portada?p_p_id=58&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/portada25c9.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:42	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2016%20Jan%202023%2012:44:42%20GMT	https://plaiaundi.hezkuntza.net/es/el_centro	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/el_centro	(from https://plaiaundi.hezkuntza.net/es/)
13:44:43	19660/19660	---M--	200	added ('OK')	image/png	etag:%22cfdf05d0%22	https://plaiaundi.hezkuntza.net/w24t000IntranetCentrosWAR-theme/images/intranet_centros/logpdpto_bi.png	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/w24t000IntranetCentrosWAR-theme/images/intranet_centros/logpdpto_bi.png	(from https://plaiaundi.hezkuntza.net/es/)
